x,"deg-s=0,0","eig-p=1-s=0,0","eig-p=10-s=0,0","eig-p=2-s=0,0","deg-s=0,1","eig-p=1-s=0,1","eig-p=10-s=0,1","eig-p=2-s=0,1","deg-s=0,2","eig-p=1-s=0,2","eig-p=10-s=0,2","eig-p=2-s=0,2","deg-s=10,12","eig-p=1-s=10,12","eig-p=10-s=10,12","eig-p=2-s=10,12","deg-s=11,12","eig-p=1-s=11,12","eig-p=10-s=11,12","eig-p=2-s=11,12","deg-s=12,12","eig-p=1-s=12,12","eig-p=10-s=12,12","eig-p=2-s=12,12",lime-1014,lime-13,lime-169,kernel_shap-1014,kernel_shap-13,kernel_shap-169,perm_shap-13,perm_shap-78,random_shap,sampling_shap-1014,sampling_shap-169
0,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301,0.3659318676913301
1,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.102242379518799,0.3303278974020998,0.3303278974020998,0.3303278974020998,0.3303278974020998,0.3303278974020998,0.3303278974020998,0.3303278974020998,0.102242379518799,0.17727695319300096,0.102242379518799,0.102242379518799,0.102242379518799,0.17727695319300096,0.102242379518799,0.102242379518799
2,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.03566326859836977,0.3000890603983919,0.23562809738760393,0.3214848032916109,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.07004032197838228,0.10926648143177431
3,0.06497666898613375,0.06497666898613375,0.06497666898613375,0.06497666898613375,0.06497666898613375,0.039411100628427675,0.039411100628427675,0.039411100628427675,0.039411100628427675,0.039411100628427675,0.039411100628427675,0.039411100628427675,0.004272001399300507,0.004272001399300507,0.004272001399300507,0.004272001399300507,0.0019061495080734403,0.0019061495080734403,0.0019061495080734403,0.0019061495080734403,0.0019061495080734403,0.0019061495080734403,0.0019061495080734403,0.0019061495080734403,0.010146492230347803,0.23772478017454546,0.28884538921957414,0.039411100628427675,0.039411100628427675,0.039411100628427675,0.004272001399300507,0.004272001399300507,0.039411100628427675,0.039411100628427675,0.07122528466825884
4,0.036907787504247835,0.036907787504247835,0.036907787504247835,0.036907787504247835,0.036907787504247835,0.036907787504247835,0.036907787504247835,0.036907787504247835,0.036907787504247835,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.008220965112201384,0.024807008984140566,0.008220965112201384,0.0005311986427898319,0.03945010814314287,0.0005311986427898319,0.0005311986427898319,0.0005311986427898319,0.04024843785410326,0.0005311986427898319,0.04024843785410326
5,0.04034781369810503,0.04034781369810503,0.04034781369810503,0.04034781369810503,0.04034781369810503,5.574679053665932e-05,5.574679053665932e-05,5.574679053665932e-05,5.574679053665932e-05,5.574679053665932e-05,0.000524119427069536,5.574679053665932e-05,2.1305976645180635e-06,2.1305976645180635e-06,2.1305976645180635e-06,2.1305976645180635e-06,2.1305976645180635e-06,2.1305976645180635e-06,2.1305976645180635e-06,2.1305976645180635e-06,2.1482303424136262e-05,2.1482303424136262e-05,2.1482303424136262e-05,2.1482303424136262e-05,3.6444329822415966e-05,0.05125238660221498,0.0004241353712188811,2.1305976645180635e-06,0.040329876425317934,5.574679053665932e-05,0.000524119427069536,0.000524119427069536,0.03943131032829683,2.1305976645180635e-06,0.03725659761076372
6,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,0.00016514888230290126,3.9017253641304706e-06,3.9017253641304706e-06,3.9017253641304706e-06,3.9017253641304706e-06,3.9017253641304706e-06,3.9017253641304706e-06,3.9017253641304706e-06,3.9017253641304706e-06,1.632281538377356e-06,1.632281538377356e-06,1.632281538377356e-06,1.632281538377356e-06,1.632281538377356e-06,0.018092786031417063,0.0006815634082215638,3.9017253641304706e-06,0.040540396305374315,0.00016014877147085826,0.0008314043629127355,3.9017253641304706e-06,2.213513326410066e-05,2.334880861099009e-06,0.04163821700458925
7,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,9.708393378105029e-06,9.708393378105029e-06,9.708393378105029e-06,9.708393378105029e-06,2.885475765879164e-06,1.4273480161364205e-05,1.4273480161364205e-05,1.4273480161364205e-05,2.099968696711585e-07,2.099968696711585e-07,2.099968696711585e-07,2.099968696711585e-07,5.096252664316125e-07,0.017290634172610453,2.1658994597828496e-05,1.4273480161364205e-05,0.0010945719663197906,2.6356132423188683e-06,2.885475765879164e-06,1.4273480161364205e-05,1.1139006716121003e-05,2.885475765879164e-06,0.041727098705820254
8,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,1.5320575045052465e-05,4.242634568640824e-05,4.242634568640824e-05,4.242634568640824e-05,4.242634568640824e-05,1.7799550278141396e-07,1.31936988623238e-06,1.5320575045052465e-05,1.31936988623238e-06,5.2010534545843257e-08,5.2010534545843257e-08,5.2010534545843257e-08,5.2010534545843257e-08,1.31936988623238e-06,0.004976351814917734,4.896549228305958e-07,1.5320575045052465e-05,0.0010945719663197906,4.896549228305958e-07,7.888013357160162e-06,1.5320575045052465e-05,1.1239432211596068e-05,7.888013357160162e-06,0.041507273050598315
9,4.879410371927406e-05,4.879410371927406e-05,4.879410371927406e-05,4.879410371927406e-05,1.1609999148731731e-06,1.1609999148731731e-06,1.1609999148731731e-06,1.1609999148731731e-06,1.1609999148731731e-06,1.1609999148731731e-06,4.879410371927406e-05,4.879410371927406e-05,4.879410371927406e-05,1.716379898653031e-06,4.879410371927406e-05,4.879410371927406e-05,1.1609999148731731e-06,1.1609999148731731e-06,1.1609999148731731e-06,1.1609999148731731e-06,-6.022688125995046e-08,-6.022688125995046e-08,-6.022688125995046e-08,-6.022688125995046e-08,1.1609999148731731e-06,0.0016072429247344644,1.1609999148731731e-06,1.1609999148731731e-06,0.0010945719663197906,4.802896285127645e-07,1.0249922866023553e-07,1.1609999148731731e-06,1.1141638793787934e-05,4.879410371927406e-05,0.04121105286722582
10,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1177810677054367e-06,1.1177810677054367e-06,1.1177810677054367e-06,1.2486094931318803e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,1.1694122861172218e-06,-1.0463366351132208e-07,-1.0463366351132208e-07,-1.0463366351132208e-07,-1.0463366351132208e-07,1.1694122861172218e-06,0.001762908487222603,1.2486094931318803e-06,1.1694122861172218e-06,0.0010945719663197906,1.5976490033153823e-06,1.1694122861172218e-06,5.342684232800821e-07,6.796229391170527e-05,1.1694122861172218e-06,0.040987483295253924
